item_no,category_name,item_description,vendor,vendor_name,bottle_size,pack,inner_pack,proof,list_date,bottle_price,shelf_price,case_cost
19234,STRAIGHT BOURBON WHISKIES,Knob Creek Bourbon,65,Jim Beam Brands,375,12,1,100,2011-06-01T00:00:00Z,10.49,15.74,125.92
19235,SINGLE BARREL BOURBON WHISKIES,Knob Creek Single Barrel Reserve,65,Jim Beam Brands,750,6,1,120,2011-04-01T00:00:00Z,24.67,37.01,148.02
1927,DECANTERS & SPECIALTY PACKAGES,Chopin With Boston Shaker,305,Mhw Ltd,750,6,1,80,2004-08-01T00:00:00Z,15.4,23.1,92.39
1931,DECANTERS & SPECIALTY PACKAGES,Hennessy Black Gift Box,420,Moet Hennessy Usa Inc.,750,12,1,86,2013-10-01T00:00:00Z,22.49,33.74,269.88
1935,DECANTERS & SPECIALTY PACKAGES,Captain Morgan's Parrot Bay With Pitcher,260,Diageo Americas,750,6,1,42,2004-08-01T00:00:00Z,7.09,10.64,42.53
19400,SCOTCH WHISKIES,Label 5,322,U.s. Distilled Prod. Co,750,12,1,80,2012-08-01T00:00:00Z,10,15,120
1943,DECANTERS & SPECIALTY PACKAGES,Skyy Vanilla With Tgif Mudslide Co-Pack,461,Campari(skyy),750,6,1,70,2004-06-01T00:00:00Z,9.49,14.24,56.92
904721,TEQUILA,El Jimador Reposado Tequila Mini,85,Brown-forman Corporation,50,10,12,80,2009-04-22T00:00:00Z,9.87,14.81,98.66
19436,STRAIGHT BOURBON WHISKIES,Lexington,492,Western Spirits Beverage Co. Llc,750,6,1,86,2012-10-01T00:00:00Z,14.54,21.81,87.19
1947,DECANTERS & SPECIALTY PACKAGES,Turi Martini Valet,35,Bacardi U.s.a. Inc.,750,6,1,80,2004-08-01T00:00:00Z,11.67,17.51,70
19474,STRAIGHT BOURBON WHISKIES,Maker's Mark,65,Jim Beam Brands,375,12,1,90,2004-03-01T00:00:00Z,7.86,11.79,94.25
19475,STRAIGHT BOURBON WHISKIES,Maker's Mark Replica,65,Jim Beam Brands,375,12,1,90,2014-11-01T00:00:00Z,7.86,11.79,94.25
19476,STRAIGHT BOURBON WHISKIES,Maker's Mark,65,Jim Beam Brands,750,12,1,90,1983-12-01T00:00:00Z,16.79,25.19,201.48
19477,STRAIGHT BOURBON WHISKIES,Maker's Mark,65,Jim Beam Brands,1000,12,1,90,2002-08-01T00:00:00Z,22.04,33.06,264.48
19478,STRAIGHT BOURBON WHISKIES,Maker's Mark,65,Jim Beam Brands,1750,6,1,90,1999-09-01T00:00:00Z,34.64,51.96,207.84
1948,DECANTERS & SPECIALTY PACKAGES,Turi Martini Valet,330,Monsieur Henri Wines Ltd.,750,6,1,80,2004-08-01T00:00:00Z,11.67,17.51,70
19486,STRAIGHT BOURBON WHISKIES,Maker's 46,65,Jim Beam Brands,750,6,1,94,2010-06-01T00:00:00Z,21,31.5,125.96
1950,DECANTERS & SPECIALTY PACKAGES,Ciroc W/martini Glass,260,Diageo Americas,750,6,1,94,2004-08-01T00:00:00Z,16.77,25.16,100.62
904722,FLAVORED RUM,Cabana Bay Vanilla Spice,298,White Rock Distilleries Inc.,750,12,1,48,2009-07-02T00:00:00Z,6.08,9.12,72.94
1951,DECANTERS & SPECIALTY PACKAGES,Tanqueray No Ten W/martini Glass,260,Diageo Americas,750,6,1,80,2004-08-01T00:00:00Z,15.97,23.96,95.8
1953,DECANTERS & SPECIALTY PACKAGES,Captain Morgans Parrot Bay With Pitcher,260,Diageo Americas,750,6,1,42,2004-08-01T00:00:00Z,7.09,10.64,42.53
1954,DECANTERS & SPECIALTY PACKAGES,Captain Morgan Mango With Pitcher,260,Diageo Americas,750,6,1,42,2004-08-01T00:00:00Z,7.09,10.64,42.53
1955,DECANTERS & SPECIALTY PACKAGES,Captain Morgan Pineapple With Pitcher,260,Diageo Americas,750,6,1,42,2004-08-01T00:00:00Z,7.09,10.64,42.53
1956,DECANTERS & SPECIALTY PACKAGES,Magellan Gin w/Martini Glass,305,Mhw Ltd,750,6,1,88,2013-10-01T00:00:00Z,17,25.5,101.97
19560,STRAIGHT BOURBON WHISKIES,Maker's Mark Three Pack Red White And Blue,65,Jim Beam Brands,1127,4,1,90,2010-06-01T00:00:00Z,20.47,30.71,81.86
1958,DECANTERS & SPECIALTY PACKAGES,Rhum Barbancourt Five Star w/2 Glasses,305,Mhw Ltd,750,6,1,86,2013-10-01T00:00:00Z,13.34,20.01,80
19586,SINGLE BARREL BOURBON WHISKIES,Distiller's Masterpiece Whiskey,65,Jim Beam Brands,750,1,1,99,1999-10-01T00:00:00Z,117.45,176.18,117.45
1959,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop Cognac W/snifters,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,1986-10-01T00:00:00Z,25.55,38.33,153.29
19638,STRAIGHT BOURBON WHISKIES,Mattingly & Moore Str Bourbon,259,Heaven Hill Distilleries Inc.,1750,6,1,80,1977-05-01T00:00:00Z,8.2,12.3,49.21
904723,SINGLE MALT SCOTCH,Glendronach 18yo,391,Anchor Distilling (preiss Imports),750,1,1,92,2009-12-09T00:00:00Z,73.25,109.88,73.25
1965,DECANTERS & SPECIALTY PACKAGES,Vox Vodka Gift Set,65,Jim Beam Brands,750,6,1,80,2004-08-01T00:00:00Z,13.92,20.88,83.53
1969,DECANTERS & SPECIALTY PACKAGES,Van Gogh Vodka Gift Set,421,Sazerac Co. Inc.,750,4,1,80,2004-08-01T00:00:00Z,16,24,64
1972,DECANTERS & SPECIALTY PACKAGES,Courvoisier Erte Decanter 1994,490,Allied Domecq Spirits And Wine Usa,750,1,1,80,1992-10-01T00:00:00Z,299.63,449.45,299.63
19726,STRAIGHT BOURBON WHISKIES,Mccormick Str Bourbon Whiskey,300,Mccormick Distilling Company,750,12,1,80,1988-08-01T00:00:00Z,4.08,6.12,48.99
1976,DECANTERS & SPECIALTY PACKAGES,Cruzan Holiday Cd 2-Pack,707,Cruzan International Inc.,750,6,1,55,2005-08-01T00:00:00Z,11.99,17.99,71.95
1978,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vs Designer Bottle,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,2003-03-01T00:00:00Z,14.38,21.57,86.27
1979,DECANTERS & SPECIALTY PACKAGES,Level With 2 Glasses,65,Jim Beam Brands,750,6,1,80,2005-08-01T00:00:00Z,17.97,26.96,107.83
1982,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vs With Snifters,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,1996-09-01T00:00:00Z,14.44,21.66,86.65
1986,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vs W/2 Highball Glasses,65,Jim Beam Brands,750,6,1,80,2000-08-01T00:00:00Z,14.17,21.26,85
1989,DECANTERS & SPECIALTY PACKAGES,Courvoisier VS w/Flask,65,Jim Beam Brands,750,6,1,80,2013-10-01T00:00:00Z,15.22,22.83,91.32
904724,SINGLE BARREL BOURBON WHISKIES,Michter's Single Barrel 10yo Bourbon,287,Chatham Importsinc,750,3,1,94,2010-02-22T00:00:00Z,45.23,67.85,135.7
1995,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop W/cigar Case,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,1997-10-01T00:00:00Z,23.98,35.97,143.86
19956,STRAIGHT BOURBON WHISKIES,Old Charter Proprietor's Reserve Bourbon,421,Sazerac Co. Inc.,750,6,1,90,1996-05-01T00:00:00Z,18.33,27.5,110
1996,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop With 2 Rocks Glasses,65,Jim Beam Brands,750,6,1,80,2001-08-01T00:00:00Z,24.2,36.3,145.2
1998,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop W/decanter,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,1998-08-01T00:00:00Z,25.55,38.33,153.29
2002,DECANTERS & SPECIALTY PACKAGES,Courvoisier Vsop W/50ml Xo,65,Jim Beam Brands,750,6,1,80,2005-07-31T00:00:00Z,14.79,22.19,88.76
2006,DECANTERS & SPECIALTY PACKAGES,Courvoisier Xo W/humidor,490,Allied Domecq Spirits And Wine Usa,750,1,1,80,1997-09-01T00:00:00Z,222.22,333.33,222.22
20066,STRAIGHT BOURBON WHISKIES,Very Special Old Fitzgerald Bourbon,260,Diageo Americas,750,6,1,90,1996-05-01T00:00:00Z,16.83,25.25,101
2010,DECANTERS & SPECIALTY PACKAGES,Courvoisier Xo W/snifters,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,2000-08-01T00:00:00Z,73.33,110,439.96
20136,STRAIGHT BOURBON WHISKIES,Old Montana Red Eye,387,Montana Distillers Inc.,750,12,1,80,1998-04-01T00:00:00Z,8,12,96.03
20244,STRAIGHT BOURBON WHISKIES,Old Crow 4yr Ky Str Bourbon Sour Mash,65,Jim Beam Brands,375,24,1,80,1985-05-01T00:00:00Z,2.37,3.56,56.8
904725,IMPORTED VODKA,Skyy 90,461,Campari(skyy),750,6,1,90,2010-04-01T00:00:00Z,16.67,25.01,100
20246,STRAIGHT BOURBON WHISKIES,Old Crow,65,Jim Beam Brands,750,12,1,80,1993-06-01T00:00:00Z,4.46,6.69,53.52
20247,STRAIGHT BOURBON WHISKIES,Old Crow,65,Jim Beam Brands,1000,12,1,80,1984-11-01T00:00:00Z,4.98,7.47,59.76
20248,STRAIGHT BOURBON WHISKIES,Old Crow,65,Jim Beam Brands,1750,6,1,80,1977-02-01T00:00:00Z,9.44,14.16,56.64
20256,STRAIGHT BOURBON WHISKIES,Old Crow Reserve,65,Jim Beam Brands,750,12,1,86,2012-01-04T00:00:00Z,3.88,5.82,23.25
20286,STRAIGHT BOURBON WHISKIES,Old Crow Traveler,65,Jim Beam Brands,750,12,1,80,1973-02-01T00:00:00Z,4.46,6.69,53.52
2030,IMPORTED GRAPE BRANDIES,A.de Fussigny Cigare Cannister Cognac,65,Jim Beam Brands,750,1,1,80,1997-06-01T00:00:00Z,51.94,77.91,51.94
20316,STRAIGHT BOURBON WHISKIES,Old Ezra 7YR,434,Luxco-st Louis,750,12,1,101,2014-06-01T00:00:00Z,9.59,14.39,115
20320,DECANTERS & SPECIALTY PACKAGES,Sobieski w/Flask,267,Imperial Brands Inc.,1750,6,1,80,2012-10-01T00:00:00Z,10.98,16.47,65.9
20366,STRAIGHT BOURBON WHISKIES,Old Forester Bourbon,85,Brown-forman Corporation,750,12,1,86,2005-09-01T00:00:00Z,8.75,13.13,104.96
2043,DECANTERS & SPECIALTY PACKAGES,Stolichnaya Raspberi With Lemonade,240,William Grant And Sons Inc.,750,6,1,70,2005-07-01T00:00:00Z,11.19,16.79,67.16
904627,FLAVORED RUM,Malibu Tropical Banana,370,Pernod Ricard Usa/austin Nichols,1000,12,1,42,2009-06-10T00:00:00Z,9.16,13.74,109.95
904726,FLAVORED VODKA,Uv Pink Lemonade Vodka Glass,380,Phillips Beverage Company,375,12,1,60,2009-05-01T00:00:00Z,3.44,5.16,41.3
20441,STRAIGHT BOURBON WHISKIES,Old Grand-Dad 4 Yr Ky Str Bourbon,65,Jim Beam Brands,502,12,1,86,1996-11-01T00:00:00Z,5.63,8.45,67.6
20446,STRAIGHT BOURBON WHISKIES,Old Grand-Dad 4 Yr Ky Str Bourbon,65,Jim Beam Brands,750,12,1,86,1971-11-01T00:00:00Z,7.87,11.81,94.41
2048,DECANTERS & SPECIALTY PACKAGES,Giori Casino Decanter,969,Aveniu Brands,200,4,1,80,2001-09-01T00:00:00Z,63.86,95.79,255.43
2054,DECANTERS & SPECIALTY PACKAGES,Giori Octopus Decanter,969,Aveniu Brands,402,4,1,80,2001-09-01T00:00:00Z,50.52,75.78,202.09
2055,DECANTERS & SPECIALTY PACKAGES,Giori Ship With Brass Anchor,969,Aveniu Brands,375,2,1,80,2001-09-01T00:00:00Z,166.65,249.98,333.3
2057,DECANTERS & SPECIALTY PACKAGES,Giori Unicorn Decanter,969,Aveniu Brands,200,2,1,80,2001-09-01T00:00:00Z,47.72,71.58,95.43
2068,DECANTERS & SPECIALTY PACKAGES,Hennessy Xo W/snifters,420,Moet Hennessy Usa Inc.,750,6,1,80,2005-08-01T00:00:00Z,90.79,136.19,544.76
2070,DECANTERS & SPECIALTY PACKAGES,Hennessy Vsop W/snifters,420,Moet Hennessy Usa Inc.,750,6,1,80,2005-08-01T00:00:00Z,29.98,44.97,179.9
2073,DECANTERS & SPECIALTY PACKAGES,Hennessey Vs W/ Hennessey Vsop Mini,420,Moet Hennessy Usa Inc.,750,12,1,80,2006-08-01T00:00:00Z,15.96,23.94,191.53
2080,DECANTERS & SPECIALTY PACKAGES,Absolut Five Summer Pack,370,Pernod Ricard Usa/austin Nichols,251,24,1,80,2005-05-01T00:00:00Z,4.68,7.02,112.32
904727,FLAVORED VODKA,Smirnoff Twist Of Green Apple,260,Diageo Americas,1000,12,1,70,2010-04-06T00:00:00Z,9.2,13.8,110.43
20817,STRAIGHT BOURBON WHISKIES,Old Taylor Ky Str. Bbn.,65,Jim Beam Brands,1000,12,1,80,2000-08-01T00:00:00Z,7.78,11.67,93.32
2088,DECANTERS & SPECIALTY PACKAGES,Pyrat Xo Reserve Gift,410,The Patron Spirits Company,750,6,1,80,2005-08-01T00:00:00Z,15.72,23.58,94.3
20946,STRAIGHT BOURBON WHISKIES,Old Whiskey River Bourbon,25,Alive Spirits,750,6,1,86,2001-10-01T00:00:00Z,13.58,20.37,81.5
2100,DECANTERS & SPECIALTY PACKAGES,Martell Vs Coganc W/glasses,370,Pernod Ricard Usa/austin Nichols,750,6,1,80,2006-08-01T00:00:00Z,14.5,21.75,86.98
21075,STRAIGHT BOURBON WHISKIES,Prichard's Double Barreled,969,Aveniu Brands,750,6,1,90,2012-11-01T00:00:00Z,31.2,46.8,187.17
21206,STRAIGHT BOURBON WHISKIES,Rebel Yell,434,Luxco-st Louis,750,12,1,80,2013-05-01T00:00:00Z,8.5,12.75,102
21210,STRAIGHT BOURBON WHISKIES,Rebel Reserve,434,Luxco-st Louis,750,6,1,90,2012-06-01T00:00:00Z,14.84,22.26,89
21220,STRAIGHT BOURBON WHISKIES,Red State Bourbon,259,Heaven Hill Distilleries Inc.,750,12,1,80,2011-11-01T00:00:00Z,7.92,11.88,95
21236,STRAIGHT BOURBON WHISKIES,Ridgemont Reserve 1792,55,Sazerac North America,750,6,1,93,2006-02-01T00:00:00Z,16.12,24.18,96.7
21376,BLENDED WHISKIES,Sam Houston American Straight Whiskey,492,Western Spirits Beverage Co. Llc,750,6,1,80,2011-06-01T00:00:00Z,14.5,21.75,87
904728,BLENDED WHISKIES,Mccormick Blended Whiskey,300,Mccormick Distilling Company,375,24,1,80,2010-04-08T00:00:00Z,1.9,2.85,45.52
2140,IMPORTED GRAPE BRANDIES,Meukow Xo Cognac,55,Sazerac North America,750,6,1,80,1999-09-01T00:00:00Z,66.47,99.71,398.84
2141,DECANTERS & SPECIALTY PACKAGES,Meukow Vs Gift,55,Sazerac North America,750,6,1,80,2005-09-01T00:00:00Z,15.08,22.62,90.45
2144,IMPORTED GRAPE BRANDIES,Meukow Vs Cognac W/2 Glasses,55,Sazerac North America,750,6,1,80,2001-08-01T00:00:00Z,14.97,22.46,89.84
2147,IMPORTED GRAPE BRANDIES,Meukow Xo W/ Rack & Tulip Glasses,55,Sazerac North America,375,6,1,80,2002-09-01T00:00:00Z,36.9,55.35,221.41
21480,STRAIGHT BOURBON WHISKIES,Benchmark Old No. 8,421,Sazerac Co. Inc.,750,12,1,80,2011-02-01T00:00:00Z,6.38,9.57,76.48
2150,DECANTERS & SPECIALTY PACKAGES,Meukow Xo W/snifters,55,Sazerac North America,750,6,1,80,2002-09-01T00:00:00Z,65.14,97.71,390.84
21546,STRAIGHT BOURBON WHISKIES,Straight Western Bourbon,350,Luxco-cleveland,750,12,1,80,1992-04-01T00:00:00Z,3.99,5.99,47.92
2155,DECANTERS & SPECIALTY PACKAGES,Remy Martin Vsop Glass Pack,389,Remy Cointreau Usa         .,375,6,1,80,2001-08-01T00:00:00Z,11.7,17.55,70.22
2157,DECANTERS & SPECIALTY PACKAGES,Remy Martin Vsop Glass Pack,389,Remy Cointreau Usa         .,750,6,1,80,2001-08-01T00:00:00Z,21.8,32.7,130.79
2158,DECANTERS & SPECIALTY PACKAGES,Remy Martin Vs Grand Cru Glass Pack,389,Remy Cointreau Usa         .,750,6,1,80,2001-08-01T00:00:00Z,16.03,24.05,96.15
904729,FLAVORED VODKA,Smirnoff Dark Roasted Espresso,260,Diageo Americas,750,12,1,100,2010-04-08T00:00:00Z,8.11,12.17,97.27
21594,STRAIGHT BOURBON WHISKIES,Ten High,55,Sazerac North America,375,24,1,80,1985-04-01T00:00:00Z,2.96,4.44,70.83
21595,STRAIGHT BOURBON WHISKIES,Ten High Traveler,55,Sazerac North America,750,12,1,80,1997-10-01T00:00:00Z,4.1,6.15,49.2
21596,STRAIGHT BOURBON WHISKIES,Ten High,55,Sazerac North America,750,12,1,80,1973-08-01T00:00:00Z,4.1,6.15,49.2
21597,STRAIGHT BOURBON WHISKIES,Ten High,55,Sazerac North America,1000,12,1,80,1984-02-01T00:00:00Z,4.94,7.41,59.2
21598,STRAIGHT BOURBON WHISKIES,Ten High,55,Sazerac North America,1750,6,1,80,1977-08-01T00:00:00Z,9.24,13.86,55.4
2168,DECANTERS & SPECIALTY PACKAGES,Tiffon Basket,831,Better Beverage Importers,2254,1,1,80,2001-08-01T00:00:00Z,62.55,93.83,62.55
2169,DECANTERS & SPECIALTY PACKAGES,Giori Two Dolphins Decanter,969,Aveniu Brands,402,4,1,80,2001-09-01T00:00:00Z,53.19,79.79,212.76
2170,DECANTERS & SPECIALTY PACKAGES,Giori Golf Decanter,969,Aveniu Brands,369,4,1,80,2001-09-01T00:00:00Z,67.06,100.59,268.22
2175,DECANTERS & SPECIALTY PACKAGES,Glenmorangie 10 Year W/coasters,85,Brown-forman Corporation,750,6,1,86,2002-09-01T00:00:00Z,22.95,34.43,137.68
21756,STRAIGHT BOURBON WHISKIES,Virginia Gentleman 80 Proof,12,A. Smith Bowman Distillery Inc.,750,12,1,80,2000-09-01T00:00:00Z,5.51,8.27,66.07
904730,MISC. IMPORTED CORDIALS & LIQUEURS,Xante,330,Monsieur Henri Wines Ltd.,750,12,1,76,2010-04-12T00:00:00Z,19.97,29.96,239.64
21766,STRAIGHT BOURBON WHISKIES,Virginia Gentleman 90 Proof,12,A. Smith Bowman Distillery Inc.,750,12,1,90,2000-09-01T00:00:00Z,10.71,16.07,128.55
2192,DECANTERS & SPECIALTY PACKAGES,Azteca De Oro W/snifter,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,2001-08-01T00:00:00Z,12.84,19.26,77.05
21946,SINGLE BARREL BOURBON WHISKIES,Wild Turkey Kentucky Spirit Bourbon Whiskey,461,Campari(skyy),750,6,1,101,1995-05-01T00:00:00Z,23.91,35.87,143.47
21964,STRAIGHT BOURBON WHISKIES,Walker's Deluxe Str Bourbon,490,Allied Domecq Spirits And Wine Usa,375,24,1,80,1985-04-01T00:00:00Z,3.01,4.52,72.29
21966,STRAIGHT BOURBON WHISKIES,Walker's Deluxe Str Bourbon,370,Pernod Ricard Usa/austin Nichols,750,12,1,80,1983-10-01T00:00:00Z,5.33,8,63.92
